MGLT,cargo_capacity,consumables,cost_in_credits,created,crew,edited,films,hyperdrive_rating,length,manufacturer,max_atmosphering_speed,model,name,passengers,pilots,starship_class,url
60,unknown,2 years,104000000,2014-12-18T10:54:57.804000Z,5400,2014-12-22T17:35:44.957852Z,['https://swapi.co/api/films/3/'],1.0,1200,Mon Calamari shipyards,n/a,MC80 Liberty type Star Cruiser,Calamari Cruiser,1200,[],Star Cruiser,https://swapi.co/api/starships/27/
120,40,1 week,175000,2014-12-18T11:16:34.542000Z,1,2014-12-22T17:35:44.978754Z,['https://swapi.co/api/films/3/'],1.0,9.6,"Alliance Underground Engineering, Incom Corporation",1300,RZ-1 A-wing Interceptor,A-wing,0,['https://swapi.co/api/people/29/'],Starfighter,https://swapi.co/api/starships/28/
91,45,1 week,220000,2014-12-18T11:18:04.763000Z,1,2014-12-22T17:35:45.011193Z,['https://swapi.co/api/films/3/'],2.0,16.9,Slayn & Korpil,950,A/SF-01 B-wing starfighter,B-wing,0,[],Assault Starfighter,https://swapi.co/api/starships/29/
unknown,unknown,unknown,unknown,2014-12-19T17:01:31.488000Z,9,2014-12-22T17:35:45.027308Z,['https://swapi.co/api/films/4/'],2.0,115,Corellian Engineering Corporation,900,Consular-class cruiser,Republic Cruiser,16,[],Space cruiser,https://swapi.co/api/starships/31/
unknown,65,7 days,200000,2014-12-19T17:39:17.582000Z,1,2014-12-22T17:35:45.079452Z,"['https://swapi.co/api/films/5/', 'https://swapi.co/api/films/4/']",1.0,11,Theed Palace Space Vessel Engineering Corps,1100,N-1 starfighter,Naboo fighter,0,"['https://swapi.co/api/people/11/', 'https://swapi.co/api/people/60/', 'https://swapi.co/api/people/35/']",Starfighter,https://swapi.co/api/starships/39/
unknown,unknown,unknown,unknown,2014-12-19T17:45:03.506000Z,8,2014-12-22T17:35:45.091925Z,['https://swapi.co/api/films/4/'],1.8,76,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",920,J-type 327 Nubian royal starship,Naboo Royal Starship,unknown,['https://swapi.co/api/people/39/'],yacht,https://swapi.co/api/starships/40/
unknown,2500000,30 days,55000000,2014-12-20T09:39:56.116000Z,1,2014-12-22T17:35:45.105522Z,['https://swapi.co/api/films/4/'],1.5,26.5,Republic Sienar Systems,1180,Star Courier,Scimitar,6,['https://swapi.co/api/people/44/'],Space Transport,https://swapi.co/api/starships/41/
unknown,unknown,1 year,2000000,2014-12-20T11:05:51.237000Z,5,2014-12-22T17:35:45.124386Z,['https://swapi.co/api/films/5/'],0.7,39,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000,J-type diplomatic barge,J-type diplomatic barge,10,[],Diplomatic barge,https://swapi.co/api/starships/43/
unknown,unknown,unknown,unknown,2014-12-20T17:24:23.509000Z,unknown,2014-12-22T17:35:45.135987Z,['https://swapi.co/api/films/5/'],unknown,390,Botajef Shipyards,unknown,Botajef AA-9 Freighter-Liner,AA-9 Coruscant freighter,30000,[],freighter,https://swapi.co/api/starships/47/
unknown,60,7 days,180000,2014-12-20T17:35:23.906000Z,1,2014-12-22T17:35:45.147746Z,"['https://swapi.co/api/films/5/', 'https://swapi.co/api/films/6/']",1.0,8,Kuat Systems Engineering,1150,Delta-7 Aethersprite-class interceptor,Jedi starfighter,0,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/58/']",Starfighter,https://swapi.co/api/starships/48/
unknown,unknown,unknown,unknown,2014-12-20T17:46:46.847000Z,4,2014-12-22T17:35:45.158969Z,['https://swapi.co/api/films/5/'],0.9,47.9,Theed Palace Space Vessel Engineering Corps,8000,H-type Nubian yacht,H-type Nubian yacht,unknown,['https://swapi.co/api/people/35/'],yacht,https://swapi.co/api/starships/49/
